Label,Texto
NAOS/Realconsult/Gruposparticipa,Información sobre los grupos técnicos en los que participa el usuario XXX
NAOS/Realconsult/viscatserus,accesibilidad usuario naos
NAOS/Realconsult/catser,lista categoría de un servicio
NAOS/Realconsult/miembgruponaos,Información integrantes grupo
NAOS/RealizarPeticion/AltausuarioengrupoNAOS,Solicitar alta en naos a usuarios
NAOS/RealizarPeticion/Altaservicio,como dar de alta a un elemento en naos
NAOS/RealizarPeticion/Bajaservicio,solicitar la baja de un elemento en naos
NAOS/RealizarPeticion/Configuracionusuario,información usuario
NAOS/RealizarPeticion/Visibilidadcomp,revocar visibilidad usuario naos
NAOS/RealizarPeticion/Cambiarflujo,solicitar cambio de procedimiento
NAOS/RealizarPeticion/ImplementarNAOS,implemento de naos en organismo
NAOS/RealizarPeticion/Desarrollarplug,solicitud de desarrollo de extensión para naos
NAOS/Notinc/FuncincorrNAOS,problemas con la integración con sistemas externos 
NAOS/Notinc/Viscatser,catalogo servicios
NAOS/Realconsult/Gruposparticipa,grupos técnicos
NAOS/Realconsult/viscatserus,accesibilidad
NAOS/Realconsult/catser,visibilidad servicio
NAOS/Realconsult/miembgruponaos,Integrantes
NAOS/RealizarPeticion/AltausuarioengrupoNAOS,Solicito alta de un usuario externo en naos
NAOS/RealizarPeticion/Altaservicio,Solicito alta de un servicio en el sistema naos
NAOS/RealizarPeticion/Bajaservicio,como dar de baja a un elemento en el sistema naos
NAOS/RealizarPeticion/Configuracionusuario,Modificar configuración usuario en NAOS
NAOS/RealizarPeticion/Visibilidadcomp,revocar visibilidad usuario tecnico en sistema naos
NAOS/RealizarPeticion/Cambiarflujo,Cambiar procedimiento
NAOS/RealizarPeticion/ImplementarNAOS,implementar la suit naos en organismo
NAOS/RealizarPeticion/Desarrollarplug,desarrollo nuevo plugin para naos
NAOS/Notinc/FuncincorrNAOS,Notificar lentitud del sistema
NAOS/Notinc/Viscatser,Problemas con la visibilidad del catálogo de servicios
NAOS/Realconsult/Gruposparticipa,Grupos técnicos en los que participa un usuario
NAOS/Realconsult/viscatserus,Visibilidad del catálogo de servicios de un usuario
NAOS/Realconsult/catser,categorias
NAOS/Realconsult/miembgruponaos,Listado integrantes grupo
NAOS/RealizarPeticion/AltausuarioengrupoNAOS,alta
NAOS/RealizarPeticion/Altaservicio,alta
NAOS/RealizarPeticion/Bajaservicio,baja
NAOS/RealizarPeticion/Configuracionusuario,usuario
NAOS/RealizarPeticion/Visibilidadcomp,Visibilidad
NAOS/RealizarPeticion/Cambiarflujo,cambio procedimiento
NAOS/RealizarPeticion/ImplementarNAOS,implementación
NAOS/RealizarPeticion/Desarrollarplug,plugin
NAOS/Notinc/FuncincorrNAOS,fallo
NAOS/Notinc/Viscatser,servicios
NAOS/Realconsult/Gruposparticipa,participación en grupos técnicos
NAOS/Realconsult/viscatserus,servicios
NAOS/Realconsult/catser,servicio
NAOS/Realconsult/miembgruponaos,grupo 
NAOS/RealizarPeticion/PeticionGeneral,a
